w-100 href,h6 href,h6,mb-0,Website
+603-33418048,https://www.hotfrog.com.my/company/1100237779640320,Taseen Trading Sdn Bhd,,None
+603-62588511,https://www.hotfrog.com.my/company/1100238473236480,Soon Seng Electrical Engineering Sdn Bhd,,None
+603-33718729,https://www.hotfrog.com.my/company/1100244563668992,Polymetal Manufacturing (M) Sdn Bhd,,None
,https://www.hotfrog.com.my/company/1100237716930560,Tele Advance Communications,,None
,https://www.hotfrog.com.my/company/1100237306413056,Versa-Matic Asia Sdn Bhd,,None
,https://www.hotfrog.com.my/company/1100238314700800,Sunlight Spray & Workshop,,None
+603-91732322,https://www.hotfrog.com.my/company/1100237485580288,Trend Living Sdn Bhd,,None
,https://www.hotfrog.com.my/company/1100245169598464,Nishida Wire Harness (M) Sdn Bhd,,None
,https://www.hotfrog.com.my/company/1100237714841600,Teletech Communication Enterprise,,None
+603-77844388,https://www.hotfrog.com.my/company/1100237333291008,V-Win,,None
,https://www.hotfrog.com.my/company/1100238316134400,Sungei Pulai Makanan Laut Sdn Bhd,,None
+603-22824564,https://www.hotfrog.com.my/company/1100237716631552,Tele Link Communication,,None
,https://www.hotfrog.com.my/company/1100238471217152,Soon Tiam Chye & Soons Poultry Farm,,None
,https://www.hotfrog.com.my/company/1100237169324032,Welli Construction Sdn Bhd,,None
,https://www.hotfrog.com.my/company/1100237722279936,Teh Kah Hong,,None
+603-79833088,https://www.hotfrog.com.my/company/1100237970440192,Syarikat Union Electronic Engineering(Sykt Union Electronic,,None
+603-61562990,https://www.hotfrog.com.my/company/1100237197676544,Wastech Agriculture Sdn Bhd,,None
+603-91308792,https://www.hotfrog.com.my/company/1100238636249088,Sin Fatt Communication,,None
,https://www.hotfrog.com.my/company/1100239221923840,Malaysian Dispersant & Coatings Sdn Bhd,,None
,https://www.hotfrog.com.my/company/1100238153064448,Syarikat Kayukayan Kedah Sdn Bhd (Sungai Petani),,None
+603-78769094,https://www.hotfrog.com.my/company/1100236990709760,Yet San Electrical Service,,None
+603-77282998,https://www.hotfrog.com.my/company/1100240480595968,Kabelcom Sdn Bhd,,None
,https://www.hotfrog.com.my/company/1100240241721344,Kewpump (M) Sdn Bhd,,None
,https://www.hotfrog.com.my/company/1100240933437440,Hup Lean Aik Feedmeal Sdn Bhd,,None
+603-61383995,https://www.hotfrog.com.my/company/1100238673395712,Shivaki Sdn Bhd,,None
